GLCMcorrelation,GlobalEntropy,LBPentropy,EdgeDensity,EnergyRatio,SpectralVariance,Mean_RGB,Std_RGB,Skew_RGB,Label
0.9682624,7.301816,11.79671,0.1801658,0.7673484,1.602789,107.0915,54.71494,-0.04745796,0
0.9408867,6.623632,10.4631,0.1970663,0.7595577,1.527693,83.44744,82.9511,1.29591,0
0.8909379,7.089742,11.56387,0.1721939,0.7763496,1.097149,71.49163,46.59709,1.844161,0
0.9675644,7.138406,7.429741,0.2202381,0.7560642,1.399308,87.07307,40.56781,0.7647498,0
0.9460739,6.36148,10.08767,0.173913,0.7667539,1.326193,113.6355,43.17503,-0.9503224,0
0.9614775,7.100696,9.654127,0.1616709,0.7617702,1.692191,121.8288,44.46264,-0.7535545,0
0.9254747,6.776155,12.58926,0.1871811,0.7585742,1.428401,63.97631,37.39166,0.6320562,0
0.858046,6.204824,15.6514,0.1705995,0.7573407,1.351314,49.24408,21.70885,0.3606285,0
0.9155735,7.263014,9.664417,0.2184311,0.7704768,1.319474,95.99476,43.10369,-0.1975402,0
0.8988786,7.10761,14.03689,0.2091837,0.7722443,1.036719,63.29001,49.39145,1.197235,0
0.9590343,6.530386,4.320805,0.2092331,0.7676724,1.126798,86.74856,48.05804,-0.7101986,0
0.9525374,7.047546,9.373501,0.1658163,0.7665253,1.325561,91.19318,43.46807,0.142314,0
0.8723404,7.601314,9.007216,0.2490434,0.7778143,1.102047,104.165,50.67858,-0.1160377,0
0.9369844,7.30078,11.90497,0.2372449,0.7749438,1.22131,100.2696,45.02967,-0.1461433,0
0.9515209,7.25942,9.67721,0.1661352,0.7646769,1.442497,104.0924,56.48501,0.4416211,0
0.9395221,7.029417,11.22667,0.2232143,0.7733755,1.233327,100.9024,53.47824,-0.5840719,0
0.7879047,6.005871,9.773378,0.1697281,0.7575666,1.421151,54.18413,28.0636,3.709757,0
0.8034697,6.325782,11.84506,0.234375,0.7762368,1.14465,42.58955,28.53385,2.245115,0
0.9576085,6.923975,3.935837,0.1994691,0.7792959,0.8642548,94.57608,61.22772,-0.1580051,0
0.9051563,6.83837,14.24518,0.1645408,0.764197,1.37268,86.8244,31.83037,0.7503799,0
0.8302847,7.542581,12.16366,0.1989796,0.7811155,0.7700097,89.12106,53.31873,0.1953039,0
0.9056285,6.44813,8.533016,0.2509566,0.769829,1.326783,49.78902,32.92857,0.4231836,0
0.9364254,7.194418,11.31501,0.2270408,0.7753904,1.20088,92.28693,54.21409,0.01884027,0
